reg_code,field_key,label,cell,type
B2100-01,발행일자,발행 일자,V4,date
B2100-01,부적합사항,부적합 사항,A8,textarea
B2100-01,발행번호,발행 번호,F4,text
B2100-01,수신처,수 신 처,F5,text
B2100-01,발행자,발 행 자,V5,text
B2100-01,회신요구일,회신 요구일,AA12,date
B2100-01,피감사자,피 감사자,AA13,text
B2100-01,감사자,감사자,AA14,text
B2100-01,관련규격또는관련문서,관련 규격 또는 관련 문서,F13,text
B2100-01,원인,원 인,A19,text
B2100-01,재발방지대책,재발방지대책,A24,textarea
B2100-01,첨부자료,첨부 자료,A29,text
B2100-01,확인종결,확인 / 종결,A32,text
B2100-01,완료예정일,완료 예정일,Q29,date
B2100-01,1차,1차,X33,text
B2100-01,2차,2차,AA33,text
B2100-01,3차,3차,AD33,text
