form_code,sheet,field_key,label,cell,type
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",발행일자,"발행 일자",V4,date
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",부적합사항,"부적합 사항",A8,textarea
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",발행번호,"발행 번호",F4,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",수신처,"수 신 처",F5,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",발행자,"발 행 자",V5,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",회신요구일,"회신 요구일",AA12,date
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",피감사자,"피 감사자",AA13,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",감사자,"감사자",AA14,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",관련규격또는관련문서,"관련 규격 또는 관련 문서",F13,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",원인,"원 인",A19,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",재발방지대책,"재발방지대책",A24,textarea
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",첨부자료,"첨부 자료",A29,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",확인종결,"확인 / 종결",A32,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",완료예정일,"완료 예정일",Q29,date
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",1차,"1차",X33,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",2차,"2차",AA33,text
B2100-01,"(시정․예방)조치 요구서 (B2100-01)",3차,"3차",AD33,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",판정,"판정",AQ25,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",1차,"1차",AQ22,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",2차,"2차",AQ23,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",3차,"3차",AQ24,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",1차,"1차",AQ18,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",2차,"2차",AQ19,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",3차,"3차",AQ20,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",판정,"판정",AQ21,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",1차,"1차",AQ14,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",2차,"2차",AQ15,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",3차,"3차",AQ16,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",판정,"판정",AQ17,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",3차,"3차",AQ8,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",판정,"판정",AQ9,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",귀책처,"귀책처",AC6,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",조치요청일,"조치 요청일",AG6,date
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",조치접수일,"조치 접수일",AK6,date
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",1차,"1차",AQ6,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",2차,"2차",AQ11,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",3차,"3차",AQ12,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",판정,"판정",AQ13,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",1차,"1차",AQ10,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",비고,"비 고",AS6,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",2차,"2차",AQ7,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",NO,"NO",A6,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",발행번호,"발행 번호",C6,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",품번규격,"품번&규격",G6,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",발생장소,"발생 장소",K6,text
B2100-02,"시정 및 예방조치 등록대장(B2100-02)",조치내용,"조치 내용",P6,textarea
B2100-03,"개선 대책서 (B2100-03)",문제점,"문제점",E88,text
B2100-03,"개선 대책서 (B2100-03)",개선내용,"개선내용",Z88,textarea
B2100-03,"개선 대책서 (B2100-03)",개선전,"개 선 전",A76,text
B2100-03,"개선 대책서 (B2100-03)",개선후,"개 선 후",V76,text
B2100-03,"개선 대책서 (B2100-03)",일정,"일 정",AQ76,text
B2100-03,"개선 대책서 (B2100-03)",문제점,"문제점",E65,text
B2100-03,"개선 대책서 (B2100-03)",개선내용,"개선내용",Z65,textarea
B2100-03,"개선 대책서 (B2100-03)",개선전,"개 선 전",A53,text
B2100-03,"개선 대책서 (B2100-03)",개선후,"개 선 후",V53,text
B2100-03,"개선 대책서 (B2100-03)",일정,"일 정",AQ53,text
B2100-03,"개선 대책서 (B2100-03)",라인,"라 인",AH45,text
B2100-03,"개선 대책서 (B2100-03)",일정,"일 정",AO45,text
B2100-03,"개선 대책서 (B2100-03)",확인담당,"확인 담당",T42,text
B2100-03,"개선 대책서 (B2100-03)",발생일자,"발생일자",E45,date
B2100-03,"개선 대책서 (B2100-03)",발생처,"발생처",E41,text
B2100-03,"개선 대책서 (B2100-03)",발생공장,"발생공장",E43,text
B2100-03,"개선 대책서 (B2100-03)",전년도,"전년도",E34,text
B2100-03,"개선 대책서 (B2100-03)",금년도,"금년도",G34,text
B2100-03,"개선 대책서 (B2100-03)",문제부위및불량현상,"문제부위 및 불량현상",E27,text
B2100-03,"개선 대책서 (B2100-03)",합격수량,"합격 수량",AJ28,text
B2100-03,"개선 대책서 (B2100-03)",불량수량,"불량 수량",AP28,text
B2100-03,"개선 대책서 (B2100-03)",물류창고,"물류창고",X29,text
B2100-03,"개선 대책서 (B2100-03)",유출원인,"유출원인",E38,textarea
B2100-03,"개선 대책서 (B2100-03)",수정수량,"수정 수량",AD28,text
B2100-03,"개선 대책서 (B2100-03)",발생원,"발생원",X35,text
B2100-03,"개선 대책서 (B2100-03)",유출원,"유출원",X38,text
B2100-03,"개선 대책서 (B2100-03)",발생원인고품분석,"발생원인 (고품분석)",E35,textarea
B2100-03,"개선 대책서 (B2100-03)",단기대책,"단기 대책",T32,textarea
B2100-03,"개선 대책서 (B2100-03)",차종기종,"차종(기종)",E26,text
B2100-03,"개선 대책서 (B2100-03)",품명,"품 명",P26,text
B2100-03,"개선 대책서 (B2100-03)",품번,"품 번",AA26,text
B2100-03,"개선 대책서 (B2100-03)",보고자,"보고자",AL26,text
B2100-03,"개선 대책서 (B2100-03)",외주협력사,"외주 협력사",X31,text
B2100-03,"개선 대책서 (B2100-03)",고객사,"고객사",X28,text
B2100-03,"개선 대책서 (B2100-03)",인라인,"인라인",X30,text
B2100-03,"개선 대책서 (B2100-03)",개선TFT,"개선 TFT",AL24,text
B2100-11,"고객사 불량 유효성 검증 관리대장 (B2100-11)",NO,"NO",A7,text
B2100-11,"고객사 불량 유효성 검증 관리대장 (B2100-11)",작성일자,"작성일자",C7,date
B2100-11,"고객사 불량 유효성 검증 관리대장 (B2100-11)",변경사유,"변경사유",E7,text
B2100-11,"고객사 불량 유효성 검증 관리대장 (B2100-11)",변경내용,"변경내용",H7,textarea
B2100-11,"고객사 불량 유효성 검증 관리대장 (B2100-11)",CoreTeam,"Core Team",R7,text
B2100-11,"고객사 불량 유효성 검증 관리대장 (B2100-11)",품명,"품명",W13,text
B2100-11,"고객사 불량 유효성 검증 관리대장 (B2100-11)",검토,"검 토",V2,text
B2100-11,"고객사 불량 유효성 검증 관리대장 (B2100-11)",승인,"승 인",X2,text
B2100-12,"유효성 점검 체크시트 (B2100-12)",납일일자,"납일 일자",A22,date
B2100-12,"유효성 점검 체크시트 (B2100-12)",개선대책내용및사진,"개선대책 내용 및 사진",A9,textarea
B2100-04,"장기테마 (B2100-04)_품질",개선완료목표일,"개선완료목표일",N12,date
B2100-04,"장기테마 (B2100-04)_품질",해결추진담당,"해결 추진 담당",P12,text
B2100-04,"장기테마 (B2100-04)_품질",발생날짜,"발생날짜",G12,date
B2100-04,"장기테마 (B2100-04)_품질",문제유형발생공정,"문제유형 & 발생공정",H12,text
B2100-04,"장기테마 (B2100-04)_품질",품질팀담당자,"품질팀 담당자",J12,text
B2100-04,"장기테마 (B2100-04)_품질",문제내용설명,"문 제 내 용 설 명",K12,text
B2100-04,"장기테마 (B2100-04)_품질",대책내용8DPSR,"대책 내용 (8D PSR)",L12,textarea
B2100-04,"장기테마 (B2100-04)_품질",Review내용,"Review 내용",M12,textarea
B2100-04,"장기테마 (B2100-04)_품질",등록일,"등록일",B12,date
B2100-04,"장기테마 (B2100-04)_품질",업체구분,"업체 구분",C12,text
B2100-04,"장기테마 (B2100-04)_품질",차종,"차종",D12,text
B2100-04,"장기테마 (B2100-04)_품질",품명품번,"품 명 (품 번)",F12,text
B2100-04,"장기테마 (B2100-04)_품질",Y,"Y",AB16,text
B2100-05,"즉실천항목 (B2100-05)_품질",25년3월1주차,"25년 3월 1주차",B10,text
B2100-05,"즉실천항목 (B2100-05)_품질",업체구분,"업체 구분",C10,text
B2100-05,"즉실천항목 (B2100-05)_품질",차종,"차종",D10,text
B2100-05,"즉실천항목 (B2100-05)_품질",품번사번,"품 번 (사 번)",F10,text
B2100-05,"즉실천항목 (B2100-05)_품질",발생날짜,"발생날짜",G10,date
B2100-05,"즉실천항목 (B2100-05)_품질",25년3월1주차,"25년 3월 1주차",A14,text
B2100-05,"즉실천항목 (B2100-05)_품질",선별결과,"선별결과",O10,textarea
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q10,text
B2100-05,"즉실천항목 (B2100-05)_품질",해결추진담당,"해결 추진 담당",R10,text
B2100-05,"즉실천항목 (B2100-05)_품질",문제유형발생공정,"문제유형 & 발생공정",H10,text
B2100-05,"즉실천항목 (B2100-05)_품질",품질팀담당자,"품질팀 담당자",J10,text
B2100-05,"즉실천항목 (B2100-05)_품질",문제내용설명,"문 제 내 용 설 명",K10,text
B2100-05,"즉실천항목 (B2100-05)_품질",대책내용8DPSR,"대책 내용 (8D PSR)",L10,textarea
B2100-05,"즉실천항목 (B2100-05)_품질",공장장지시사항,"공장장 지시사항",M10,textarea
B2100-05,"즉실천항목 (B2100-05)_품질",Review내용,"Review 내용",N10,textarea
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q18,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q14,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q22,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q26,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q30,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q34,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q38,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q46,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q42,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q50,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q58,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q54,text
B2100-05,"즉실천항목 (B2100-05)_품질",공유,"공유",Q62,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q66,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q74,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q70,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q78,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q86,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q82,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q90,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q98,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q94,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q102,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q106,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q110,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q114,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q118,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q126,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q130,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q122,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q134,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q142,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q138,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q146,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q150,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q154,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q158,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q162,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q166,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q170,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q178,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q174,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q182,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q186,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q190,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q194,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q206,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q198,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q202,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q210,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q214,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q218,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q222,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q226,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q230,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q234,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q238,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q242,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q246,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q250,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q254,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q262,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q258,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q266,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q274,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q270,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q278,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q286,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q282,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q290,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q298,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q294,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q302,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q306,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q310,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q314,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q318,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q322,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q330,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q326,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q334,text
B2100-05,"즉실천항목 (B2100-05)_품질",즉실천,"즉실천",Q338,text
