,,,,,,,품질 환경 매뉴얼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문 서 번 호,,,,,,TPC-M-06,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"재,개정 일자",,,,,,2025년 01월 06일,,,,,,,,,,
,,,,,,,"0.6장 프로세스 매트릭스(부서)_1,2,3공장 공통",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,개 정 번 호,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,페   이   지,,,,,,1/2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,프로세스,,,표 준 명,,,,,,,표준번호,,,부   서   명,,,,,,,,,,,,,,,프로세스,,,표 준 명,,,,,,,표준번호,,,부   서   명,,,,,,,,,,,,,,
,,,,,,,,,,,,,,총무,,영업,,품질,,개발,,구매,,생산,,생기,,,,,,,,,,,,,,,,총무,,영업,,품질,,개발,,구매,,생산,,생기,,
,"영업
관리",,,계약검토 규정,,,,,,,H-1100,,,○,,○,,○,,●,,○,,○,,,,,"생산
관리",,,환경운영관리 규정,,,,,,,E-3100,,,●,,○,,○,,○,,○,,○,,○,,
,,,,양산주문접수 및 납품관리 규정,,,,,,,H-2100,,,,,●,,,,,,○,,○,,,,,,,,작업환경측정 지침,,,,,,,E-3101,,,●,,,,,,,,,,○,,,,
,,,,고객만족도 관리규정,,,,,,,H-3100,,,,,●,,●,,○,,,,,,,,,,,,소음진동 관리 지침,,,,,,,E-3102,,,●,,,,,,,,,,○,,,,
,,,,고객불만 처리 규정,,,,,,,H-3200,,,,,○,,●,,○,,,,○,,,,,,,,폐기물 관리 지침,,,,,,,E-3103,,,●,,○,,○,,○,,○,,○,,○,,
,개발,,,개발업무 규정,,,,,,,J-1100,,,,,○,,○,,●,,○,,○,,○,,,,,,유해화학물질 관리 지침,,,,,,,E-3104,,,●,,,,,,,,,,○,,,,
,,,,양산부품 승인 업무규정,,,,,,,J-2100,,,,,○,,●,,○,,○,,○,,○,,,,,,대기관리 지침,,,,,,,E-3105,,,●,,,,,,,,,,○,,,,
,,,,공정FMEA 작성 및 관리 지침,,,,,,,J-1101,,,,,○,,○,,●,,○,,○,,○,,,,,,수질관리 지침,,,,,,,E-3106,,,●,,,,,,,,,,○,,,,
,,,,관리계획서 작성 및 관리 지침,,,,,,,J-1102,,,,,,,●,,○,,○,,○,,,,,,,,소방시설 관리 지침,,,,,,,E-3107,,,●,,○,,○,,○,,○,,○,,○,,
,,,,작업표준서 작성 및 관리 지침,,,,,,,J-1103,,,,,,,○,,○,,○,,●,,,,,,,,에너지 관리 지침,,,,,,,E-3108,,,●,,○,,○,,○,,○,,○,,○,,
,,,,4M변경관리 규정,,,,,,,J-3100,,,,,○,,○,,●,,○,,○,,○,,,"구매
업무",,,구매업무 규정,,,,,,,K-1100,,,,,,,○,,○,,●,,●,,○,,
,,,,도면관리 규정,,,,,,,J-4100,,,,,○,,○,,●,,○,,○,,○,,,,,,협력업체 관리 규정,,,,,,,K-1200,,,,,,,○,,○,,●,,●,,○,,
,,,,도면 부품 일치성 점검 지침,,,,,,,J-4200,,,,,○,,○,,●,,○,,○,,○,,,,,,자재관리 규정,,,,,,,K-2100,,,,,,,○,,,,●,,●,,○,,
,,,,제품 특성 안전관리 규정,,,,,,,D-1100,,,,,,,,,●,,,,○,,○,,,검사 및시험,,,검사업무 규정,,,,,,,L-2100,,,,,○,,●,,○,,○,,○,,○,,
,"생산
관리",,,생산관리 규정,,,,,,,M-1100,,,,,○,,,,○,,○,,●,,○,,,,,,신뢰성 시험업무 규정,,,,,,,L-2200,,,,,○,,●,,○,,○,,○,,○,,
,,,,공정관리 규정,,,,,,,M-1200,,,,,,,○,,○,,○,,●,,○,,,,,,한도견본관리 규정,,,,,,,L-2300,,,,,○,,●,,○,,○,,○,,○,,
,,,,식별 및 추적성 관리 규정,,,,,,,M-2100,,,,,○,,○,,○,,○,,●,,○,,,,,,계측기 관리 규정,,,,,,,L-3100,,,,,○,,●,,○,,○,,○,,○,,
,,,,완성품 관리 규정,,,,,,,M-3100,,,,,●,,○,,○,,○,,○,,,,,,,,측정시스템 평가 지침,,,,,,,L-3101,,,,,,,●,,○,,,,○,,,,
,,,,3정 5S활동 규정,,,,,,,M-4100,,,○,,○,,○,,○,,○,,●,,○,,,"지속적
개선",,,부적합품 관리 규정,,,,,,,B-1100,,,,,○,,●,,○,,○,,○,,○,,
,,,,조도(Lux) 관리 지침,,,,,,,M-4200,,,○,,○,,○,,○,,○,,●,,○,,,,,,시정조치 규정,,,,,,,B-2100,,,○,,○,,●,,○,,○,,○,,○,,
,,,,설비관리 규정,,,,,,,L-1100,,,,,,,○,,○,,○,,○,,●,,,,,,지속적 개선업무 규정,,,,,,,B-2200,,,○,,○,,●,,○,,○,,○,,○,,
,,,,지그관리 규정,,,,,,,L-1200,,,,,,,○,,○,,○,,○,,●,,,,,,정성품질 운영 지침,,,,,,,B-2300,,,○,,○,,●,,○,,○,,○,,○,,
,,,,안전보건관리 규정,,,,,,,D-2100,,,●,,○,,○,,○,,○,,○,,○,,,,,,통계적 기법적용 규정,,,,,,,L-4100,,,○,,○,,●,,○,,○,,○,,○,,
