,,,,,,,품질 환경 매뉴얼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문 서 번 호,,,,,,TPC-M-07,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"재,개정 일자",,,,,,2025년 01월 06일,,,,,,,,,,
,,,,,,,"0.7장 프로세스 매트릭스(조항)_1,2,3공장 공통",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,개 정 번 호,,,,,,7,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,페   이   지,,,,,,1/2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"※1공장, 2공장은 고객사로부터 발행된 CSR 없음",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,N0,요구사항,,,,프로세스,,,,,,,관  련  규  정,,,,,,,,,,,책임부서,,,,,N0,요구사항,,,,프로세스,,,,,,,관  련  규  정,,,,,,,,,,,책임부서,,,,
,,,,,,,,,,,,,규정번호,,,,규  정  명  칭,,,,,,,,,,,,,,,,,,,,,,,,규정번호,,,,규  정  명  칭,,,,,,,,,,,
,4,조직의 상황,,,,-,,,,,,,D-1100,,,,제품 특성 안전관리 규정,,,,,,,개  발  팀,,,,,7,지원,,,,"생산관리 프로세스
(CP-03)",,,,,,,M-4200,,,,조도(Lux) 관리 지침,,,,,,,품질보증팀,,,,
,5,리더십,,,,"경영관리 프로세스
(MP-01)",,,,,,,A-1100,,,,조직 및 업무분장 규정,,,,,,,총  무  팀,,,,,,,,,,,,,,,,,J-3100,,,,4M 변경관리 규정,,,,,,,개  발  팀,,,,
,,,,,,,,,,,,,A-3100,,,,회의운영 규정,,,,,,,총  무  팀,,,,,8,운용,,,,"영업관리 프로세스
(CP-01)",,,,,,,H-1100,,,,계약검토 규정,,,,,,,개  발  팀,,,,
