parent,child,qty,src
28235-2B740-K1,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B740-K1,28235-2B740-2,1,"BOM_안진성,하헌.xls"
28235-2B740-K2,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B740-K2,28235-2B740-3,1,"BOM_안진성,하헌.xls"
28235-2B740-R1,28235-2B740-K1,1,"BOM_안진성,하헌.xls"
28235-2B740-R2,28235-2B740-K2,1,"BOM_안진성,하헌.xls"
28235-2B740-B1,28235-2B740-R1,1,"BOM_안진성,하헌.xls"
28235-2B740-B2,28235-2B740-R2,1,"BOM_안진성,하헌.xls"
28235-2B740-T1,28235-2B740-B1,1,"BOM_안진성,하헌.xls"
28235-2B740-T1,28235-2B740-B2,1,"BOM_안진성,하헌.xls"
28235-2B740-T1,28235-2B730-1,1,"BOM_안진성,하헌.xls"
28235-2B740-T1,39211-2B076,1,"BOM_안진성,하헌.xls"
28235-2B740-T1,28235-2B710-10,1,"BOM_안진성,하헌.xls"
28235-2B740,28235-2B740-T1,1,"BOM_안진성,하헌.xls"
28235-2B740,28237-2B710,1,"BOM_안진성,하헌.xls"
28235-2B740,28238-2B730,1,"BOM_안진성,하헌.xls"
28235-2B740,28239-2B740,1,"BOM_안진성,하헌.xls"
28235-2B720-K1,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B720-K1,28235-2B720-2,1,"BOM_안진성,하헌.xls"
28235-2B720-K2,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B720-K2,28235-2B720-3,1,"BOM_안진성,하헌.xls"
28235-2B720-R1,28235-2B720-K1,1,"BOM_안진성,하헌.xls"
28235-2B720-R2,28235-2B720-K2,1,"BOM_안진성,하헌.xls"
28235-2B720-B1,28235-2B720-R1,1,"BOM_안진성,하헌.xls"
28235-2B720-B2,28235-2B720-R2,1,"BOM_안진성,하헌.xls"
28235-2B720-T1,28235-2B720-B1,1,"BOM_안진성,하헌.xls"
28235-2B720-T1,28235-2B720-B2,1,"BOM_안진성,하헌.xls"
28235-2B720-T1,28235-2B720-1,1,"BOM_안진성,하헌.xls"
28235-2B720,28235-2B720-T1,1,"BOM_안진성,하헌.xls"
28235-2B720,28237-2B720,1,"BOM_안진성,하헌.xls"
28235-2B720,28238-2B720,1,"BOM_안진성,하헌.xls"
28353-2M100-B1,28353-2M100-1,1,"BOM_안진성,하헌.xls"
28353-2M100-B2,28353-2M100-2,1,"BOM_안진성,하헌.xls"
28353-2M100-S1,28353-2M100-B1,1,"BOM_안진성,하헌.xls"
28353-2M100-S1,28353-2M100-B2,1,"BOM_안진성,하헌.xls"
28353-2M100-S1,28353-2M100-3,1,"BOM_안진성,하헌.xls"
28353-2M100-S1,28353-2M100-4,1,"BOM_안진성,하헌.xls"
28353-2M100-S1,28353-2M100-5,1,"BOM_안진성,하헌.xls"
28353-2M100-S1,91931-M6050,1,"BOM_안진성,하헌.xls"
28353-2M100-R1,28353-2M100-S1,1,"BOM_안진성,하헌.xls"
28350-2M100,28353-2M100-R1,1,"BOM_안진성,하헌.xls"
28350-2M100,26710-2M000,1,"BOM_안진성,하헌.xls"
28353-2M100-B1,28353-2M100-1,1,"BOM_안진성,하헌.xls"
28353-2M100-B2,28353-2M100-2,1,"BOM_안진성,하헌.xls"
28353-2M110-S1,28353-2M100-B1,1,"BOM_안진성,하헌.xls"
28353-2M110-S1,28353-2M100-B2,1,"BOM_안진성,하헌.xls"
28353-2M110-S1,28353-2M100-3,1,"BOM_안진성,하헌.xls"
28353-2M110-S1,28353-2M100-4,1,"BOM_안진성,하헌.xls"
28353-2M110-S1,28353-2M100-5,1,"BOM_안진성,하헌.xls"
28353-2M110-S1,91931-F2120,1,"BOM_안진성,하헌.xls"
28353-2M110-R1,28353-2M110-S1,1,"BOM_안진성,하헌.xls"
28350-2M110,28353-2M110-R1,1,"BOM_안진성,하헌.xls"
28350-2M110,26710-2M000,1,"BOM_안진성,하헌.xls"
31728-3JX9A-O1,31728-3JX9A-1,1,"BOM_안진성,하헌.xls"
31728-3JX9A-O1,31728-3JX9A-3,1,"BOM_안진성,하헌.xls"
31728-3JX9A-C1,31728-3JX9A-O1,1,"BOM_안진성,하헌.xls"
31728-3JX9A-G1,31728-3JX9A-C1,1,"BOM_안진성,하헌.xls"
31728-3JX9A-G1,31728-3JX9A-2,1,"BOM_안진성,하헌.xls"
31728-3JX9A-R1,31728-3JX9A-G1,1,"BOM_안진성,하헌.xls"
31728-3JX9A-B1,31728-3JX9A-R1,1,"BOM_안진성,하헌.xls"
31728-3JX9A-T1,31728-3JX9A-B1,1,"BOM_안진성,하헌.xls"
31728-3JX9A,31728-3JX9A-T1,1,"BOM_안진성,하헌.xls"
28820-4A810-T1,28820-4A810-1,1,"BOM_안진성,하헌.xls"
28820-4A810-T1,28820-4A810-2,1,"BOM_안진성,하헌.xls"
28820-4A810-T1,28820-4A810-9,1,"BOM_안진성,하헌.xls"
28820-4A810-T1,28820-4A810-3,1,"BOM_안진성,하헌.xls"
28820-4A810-T1,28820-4A810-4,1,"BOM_안진성,하헌.xls"
28820-4A810-T1,28820-4A810-5,1,"BOM_안진성,하헌.xls"
28820-4A810-D1,28820-4A810-T1,1,"BOM_안진성,하헌.xls"
28820-4A810,28820-4A810-D1,1,"BOM_안진성,하헌.xls"
28820-4A810,28811-4A001,1,"BOM_안진성,하헌.xls"
28820-4A810,28820-4A810-7,1,"BOM_안진성,하헌.xls"
28820-4A810,28820-4A810-8,1,"BOM_안진성,하헌.xls"
28235-2B710-K1,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B710-K1,28235-2B710-2,1,"BOM_안진성,하헌.xls"
28235-2B710-K2,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B710-K2,28235-2B710-3,1,"BOM_안진성,하헌.xls"
28235-2B710-R1,28235-2B710-K1,1,"BOM_안진성,하헌.xls"
28235-2B710-R2,28235-2B710-K2,1,"BOM_안진성,하헌.xls"
28235-2B710-B1,28235-2B710-R1,1,"BOM_안진성,하헌.xls"
28235-2B710-B2,28235-2B710-R2,1,"BOM_안진성,하헌.xls"
28235-2B710-T1,28235-2B710-B1,1,"BOM_안진성,하헌.xls"
28235-2B710-T1,28235-2B710-B2,1,"BOM_안진성,하헌.xls"
28235-2B710-T1,28235-2B710-1,1,"BOM_안진성,하헌.xls"
28235-2B710-T1,39211-2B070,1,"BOM_안진성,하헌.xls"
28235-2B710-T1,28235-2B710-10,1,"BOM_안진성,하헌.xls"
28235-2B710,28235-2B710-T1,1,"BOM_안진성,하헌.xls"
28235-2B710,28237-2B710,1,"BOM_안진성,하헌.xls"
28235-2B710,28238-2B710,1,"BOM_안진성,하헌.xls"
28235-2B730-K1,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B730-K1,28235-2B730-2,1,"BOM_안진성,하헌.xls"
28235-2B730-K2,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B730-K2,28235-2B730-3,1,"BOM_안진성,하헌.xls"
28235-2B730-R1,28235-2B730-K1,1,"BOM_안진성,하헌.xls"
28235-2B730-R2,28235-2B730-K2,1,"BOM_안진성,하헌.xls"
28235-2B730-B1,28235-2B730-R1,1,"BOM_안진성,하헌.xls"
28235-2B730-B2,28235-2B730-R2,1,"BOM_안진성,하헌.xls"
28235-2B730-T1,28235-2B730-B1,1,"BOM_안진성,하헌.xls"
28235-2B730-T1,28235-2B730-B2,1,"BOM_안진성,하헌.xls"
28235-2B730-T1,28235-2B730-1,1,"BOM_안진성,하헌.xls"
28235-2B730-T1,39211-2B070,1,"BOM_안진성,하헌.xls"
28235-2B730-T1,28235-2B710-10,1,"BOM_안진성,하헌.xls"
28235-2B730,28235-2B730-T1,1,"BOM_안진성,하헌.xls"
28235-2B730,28237-2B710,1,"BOM_안진성,하헌.xls"
28235-2B730,28238-2B710,1,"BOM_안진성,하헌.xls"
28235-2B800-K1,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B800-K1,28235-2B800-2,1,"BOM_안진성,하헌.xls"
28235-2B800-K2,28235-2B730-6,1,"BOM_안진성,하헌.xls"
28235-2B800-K2,28235-2B800-3,1,"BOM_안진성,하헌.xls"
28235-2B800-R1,28235-2B800-K1,1,"BOM_안진성,하헌.xls"
28235-2B800-R2,28235-2B800-K2,1,"BOM_안진성,하헌.xls"
28235-2B800-B1,28235-2B800-R1,1,"BOM_안진성,하헌.xls"
28235-2B800-B2,28235-2B800-R2,1,"BOM_안진성,하헌.xls"
28235-2B800-T1,28235-2B800-B1,1,"BOM_안진성,하헌.xls"
