item,type,suffix
11403-06101,완제품/조립,
11403-06126,완제품/조립,
11403-06141,완제품/조립,
13905-06000,완제품/조립,
13905-06001,완제품/조립,
13905-08000,완제품/조립,
14813-10179,완제품/조립,
15220-24151,완제품/조립,
15228-15000,완제품/조립,
15406-10000,완제품/조립,
21780-82601,완제품/조립,
21780-82601-B1,반제품,B1
21780-82601-O1,반제품,O1
21780-82601-P1,반제품,P1
21780-82601-R1,반제품,R1
21781-82600-C1,반제품,C1
21782-82301-D1,반제품,D1
21782-82601,완제품/조립,
21782-82601-D1,반제품,D1
21782-82601-G1,반제품,G1
22152-03010,완제품/조립,
22152-03010-2,완제품/조립,
22515-03010-1,완제품/조립,
22515-03010-H1,반제품,H1
22515-03010-R1,반제품,R1
2491-52800-C1,원자재/기타,
25076-43300,완제품/조립,
25076-43300-1,완제품/조립,
25076-43300-B1,반제품,B1
25076-43300-D1,반제품,D1
25076-43300-H1,반제품,H1
25076-43300-P1,반제품,P1
25076-43300-P2,반제품,P2
25410-2R000,완제품/조립,
25410-2R030,완제품/조립,
25410-3V000,완제품/조립,
25411-2R000-1,완제품/조립,
25411-2R000-3,완제품/조립,
25411-2R000-4,완제품/조립,
25411-2R000-5,완제품/조립,
25411-2R000-6,완제품/조립,
25411-2R000-B1,반제품,B1
25411-2R000-C1,반제품,C1
25411-2R000-O1,반제품,O1
25411-2R000-P1,반제품,P1
25411-2R000-Q1,반제품,Q1
25411-2R000-R1,반제품,R1
25411-2R000-S1,반제품,S1
25411-3V000-1,완제품/조립,
25411-3V000-2,완제품/조립,
25411-3V000-B1,반제품,B1
25411-3V000-P1,반제품,P1
25411-3V000-R1,반제품,R1
25411-3V000-S1,반제품,S1
25412-2R000,완제품/조립,
25412-3V000,완제품/조립,
25413-2R030,완제품/조립,
25413-2R030-1,완제품/조립,
25413-2R030-2,완제품/조립,
25413-2R030-B1,반제품,B1
25413-2R030-P1,반제품,P1
25413-2R030-R1,반제품,R1
25413-2R030-S1,반제품,S1
25420-2R000,완제품/조립,
25430-2R000,완제품/조립,
25430-52801,완제품/조립,
