item,pno_group,pname,proc_code,seq,out_yn,src
28235-2B730-6,,,0,10,,라우팅_하헌
28235-2B740-2,,,0,10,,라우팅_하헌
28235-2B740-3,,,0,10,,라우팅_하헌
28235-2B730-1,,,0,10,,라우팅_하헌
39211-2B076,,,0,10,,라우팅_하헌
28235-2B710-10,,,0,10,,라우팅_하헌
28237-2B710,,,0,10,,라우팅_하헌
28238-2B730,,,0,10,,라우팅_하헌
28239-2B740,,,0,10,,라우팅_하헌
28235-2B740-K1,,,K10,10,,라우팅_하헌
28235-2B740-K2,,,K10,10,,라우팅_하헌
28235-2B740-R1,,,R10,10,,라우팅_하헌
28235-2B740-R2,,,R10,10,,라우팅_하헌
28235-2B740-B1,,,B10,10,,라우팅_하헌
28235-2B740-B2,,,B10,10,,라우팅_하헌
28235-2B740-T1,,,T10,10,,라우팅_하헌
28235-2B740-T1,,,L10,20,,라우팅_하헌
28235-2B740-T1,,,D10,30,,라우팅_하헌
28235-2B740-T1,,,L20,40,,라우팅_하헌
28235-2B740,,,J10,10,,라우팅_하헌
28235-2B730-6,,,0,10,,라우팅_하헌
28235-2B720-2,,,0,10,,라우팅_하헌
28235-2B720-3,,,0,10,,라우팅_하헌
28235-2B720-1,,,0,10,,라우팅_하헌
28237-2B720,,,0,10,,라우팅_하헌
28238-2B720,,,0,10,,라우팅_하헌
28235-2B720-K1,,,K10,10,,라우팅_하헌
28235-2B720-K2,,,K10,10,,라우팅_하헌
28235-2B720-R1,,,R10,10,,라우팅_하헌
28235-2B720-R2,,,R10,10,,라우팅_하헌
28235-27B10-B1,,,B10,10,,라우팅_하헌
28235-27B10-B2,,,B10,10,,라우팅_하헌
28235-2B720-T1,,,T10,10,,라우팅_하헌
28235-2B720-T1,,,D10,20,,라우팅_하헌
28235-2B720-T1,,,L10,30,,라우팅_하헌
28235-2B720,,,J10,10,,라우팅_하헌
28353-2M100-1,,,0,10,,라우팅_하헌
28353-2M100-2,,,0,10,,라우팅_하헌
28353-2M100-3,,,0,10,,라우팅_하헌
28353-2M100-4,,,0,10,,라우팅_하헌
28353-2M100-5,,,0,10,,라우팅_하헌
91931-M6050,,,0,10,,라우팅_하헌
26710-2M000,,,0,10,,라우팅_하헌
28353-2M100-B1,,,B10,10,,라우팅_하헌
28353-2M100-B2,,,B10,10,,라우팅_하헌
28353-2M100-S1,,,S10,10,,라우팅_하헌
28353-2M100-R1,,,R10,10,,라우팅_하헌
28353-2M100-R1,,,D10,20,,라우팅_하헌
28353-2M100-R1,,,L10,30,,라우팅_하헌
28350-2M100,,,J10,10,,라우팅_하헌
28353-2M100-1,,,0,10,,라우팅_하헌
28353-2M100-2,,,0,10,,라우팅_하헌
28353-2M100-3,,,0,10,,라우팅_하헌
28353-2M100-4,,,0,10,,라우팅_하헌
28353-2M100-5,,,0,10,,라우팅_하헌
91931-F2120,,,0,10,,라우팅_하헌
26710-2M000,,,0,10,,라우팅_하헌
28353-2M100-B1,,,B10,10,,라우팅_하헌
28353-2M100-B2,,,B10,10,,라우팅_하헌
28353-2M110-S1,,,S10,10,,라우팅_하헌
28353-2M110-R1,,,R10,10,,라우팅_하헌
28353-2M110-R1,,,D10,20,,라우팅_하헌
28353-2M110-R1,,,L10,30,,라우팅_하헌
28350-2M110,,,J10,10,,라우팅_하헌
31728-3JX9A-1,,,0,10,,라우팅_하헌
31728-3JX9A-2,,,0,10,,라우팅_하헌
31728-3JX9A-3,,,0,10,,라우팅_하헌
31728-3JX9A-O1,,,O10,10,,라우팅_하헌
31728-3JX9A-C1,,,C10,10,,라우팅_하헌
31728-3JX9A-G1,,,G10,10,,라우팅_하헌
31725-3JX9A-R1,,,R10,10,,라우팅_하헌
31728-3JX9A-B1,,,B10,10,,라우팅_하헌
31728-3JX9A,,,L10,10,,라우팅_하헌
28820-4A810-1,,,0,10,,라우팅_하헌
28820-4A810-2,,,0,10,,라우팅_하헌
28820-4A810-9,,,0,10,,라우팅_하헌
28820-4A810-3,,,0,10,,라우팅_하헌
28820-4A810-4,,,0,10,,라우팅_하헌
28820-4A810-5,,,0,10,,라우팅_하헌
28811-4A001,,,0,10,,라우팅_하헌
28820-4A810-7,,,0,10,,라우팅_하헌
28820-4A810-8,,,0,10,,라우팅_하헌
28820-4A810-T1,,,0,10,,라우팅_하헌
28820-4A810-D1,,,D10,10,,라우팅_하헌
28820-4A810-D1,,,L10,20,,라우팅_하헌
28820-4A810,,,J10,10,,라우팅_하헌
28235-2B730-6,,,0,10,,라우팅_하헌
28235-2B710-2,,,0,10,,라우팅_하헌
28235-2B710-3,,,0,10,,라우팅_하헌
28235-2B710-1,,,0,10,,라우팅_하헌
39211-2B070,,,0,10,,라우팅_하헌
28235-2B710-10,,,0,10,,라우팅_하헌
28237-2B710,,,0,10,,라우팅_하헌
28238-2B710,,,0,10,,라우팅_하헌
28235-2B710-K1,,,K10,10,,라우팅_하헌
28235-2B710-K2,,,K10,10,,라우팅_하헌
28235-2B710-R1,,,R10,10,,라우팅_하헌
28235-2B710-R2,,,R10,10,,라우팅_하헌
28235-27B10-B1,,,B10,10,,라우팅_하헌
28235-27B10-B2,,,B10,10,,라우팅_하헌
28235-2B710-T1,,,T10,10,,라우팅_하헌
28235-2B710-T1,,,D10,20,,라우팅_하헌
28235-2B710-T1,,,L10,30,,라우팅_하헌
28235-2B710,,,J10,10,,라우팅_하헌
28235-2B730-6,,,0,10,,라우팅_하헌
28235-2B730-2,,,0,10,,라우팅_하헌
28235-2B730-3,,,0,10,,라우팅_하헌
28235-2B730-1,,,0,10,,라우팅_하헌
39211-2B070,,,0,10,,라우팅_하헌
28235-2B710-10,,,0,10,,라우팅_하헌
28237-2B710,,,0,10,,라우팅_하헌
28238-2B710,,,0,10,,라우팅_하헌
28235-2B730-K1,,,K10,10,,라우팅_하헌
28235-2B730-K2,,,K10,10,,라우팅_하헌
28235-2B730-R1,,,R10,10,,라우팅_하헌
28235-2B730-R2,,,R10,10,,라우팅_하헌
28235-2B730-B1,,,B10,10,,라우팅_하헌
28235-2B730-B2,,,B10,10,,라우팅_하헌
28235-2B730-T1,,,T10,10,,라우팅_하헌
28235-2B730-T1,,,D10,20,,라우팅_하헌
28235-2B730-T1,,,L10,30,,라우팅_하헌
28235-2B730,,,J10,10,,라우팅_하헌
28235-2B730-6,,,0,10,,라우팅_하헌
28235-2B800-2,,,0,10,,라우팅_하헌
28235-2B800-3,,,0,10,,라우팅_하헌
28235-2B730-1,,,0,10,,라우팅_하헌
39211-2B075,,,0,10,,라우팅_하헌
28235-2B710-10,,,0,10,,라우팅_하헌
28237-2B710,,,0,10,,라우팅_하헌
28238-2B710,,,0,10,,라우팅_하헌
28235-2B800-K1,,,K10,10,,라우팅_하헌
28235-2B800-K2,,,K10,10,,라우팅_하헌
28235-2B800-R1,,,R10,10,,라우팅_하헌
28235-2B800-R2,,,R10,10,,라우팅_하헌
28235-2B800-B1,,,B10,10,,라우팅_하헌
28235-2B800-B2,,,B10,10,,라우팅_하헌
28235-2B800-T1,,,T10,10,,라우팅_하헌
28235-2B800-T1,,,D10,20,,라우팅_하헌
28235-2B800-T1,,,L10,30,,라우팅_하헌
28235-2B800,,,J10,10,,라우팅_하헌
39480-2A120-1,,,0,10,,라우팅_하헌
39480-2A120-2,,,0,10,,라우팅_하헌
39480-2A120-3,,,0,10,,라우팅_하헌
39480-2A120-4,,,0,10,,라우팅_하헌
39480-2A120-5,,,0,10,,라우팅_하헌
39480-2A120-6,,,0,10,,라우팅_하헌
39472-2A240,,,0,10,,라우팅_하헌
39471-2A105,,,0,10,,라우팅_하헌
39480-2A120-T1,,,L10,10,,라우팅_하헌
39480-2A120-T1,,,T10,20,,라우팅_하헌
39480-2A120-T1,,,D10,30,,라우팅_하헌
39480-2A120-T1,,,L10,40,,라우팅_하헌
39480-2A120,,,J10,10,,라우팅_하헌
39480-2A150-1,,,0,10,,라우팅_하헌
39480-2A150-2,,,0,10,,라우팅_하헌
39480-2A150-7,,,0,10,,라우팅_하헌
39480-2A150-3,,,0,10,,라우팅_하헌
39480-2A150-4,,,0,10,,라우팅_하헌
39480-2A150-8,,,0,10,,라우팅_하헌
39471-2A900,,,0,10,,라우팅_하헌
39480-2A150-B1,,,B10,10,,라우팅_하헌
39480-2A150-B2,,,B10,10,,라우팅_하헌
39480-2A150-B3,,,B10,10,,라우팅_하헌
39480-2A150-T1,,,L10,10,,라우팅_하헌
39480-2A150-T1,,,T10,20,,라우팅_하헌
39480-2A150-T1,,,D10,30,,라우팅_하헌
39480-2A150-T1,,,L10,40,,라우팅_하헌
39480-2A150,,,J10,10,,라우팅_하헌
39480-2A150-1,,,0,10,,라우팅_하헌
39480-2A150-2,,,0,10,,라우팅_하헌
39480-2A160-7,,,0,10,,라우팅_하헌
39480-2A150-3,,,0,10,,라우팅_하헌
39480-2A150-4,,,0,10,,라우팅_하헌
39480-2A150-8,,,0,10,,라우팅_하헌
39471-2A900,,,0,10,,라우팅_하헌
39471-2A851,,,0,10,,라우팅_하헌
39416-2A603,,,0,10,,라우팅_하헌
39480-2A150-B1,,,B10,10,,라우팅_하헌
39480-2A150-B2,,,B10,10,,라우팅_하헌
39480-2A160-B3,,,B10,10,,라우팅_하헌
39480-2A160-T1,,,L10,10,,라우팅_하헌
39480-2A160-T1,,,T10,20,,라우팅_하헌
39480-2A160-T1,,,D10,30,,라우팅_하헌
39480-2A160-T1,,,L10,40,,라우팅_하헌
39480-2A160,,,J10,10,,라우팅_하헌
39480-2A150-1,,,0,10,,라우팅_하헌
39480-2A160-7,,,0,10,,라우팅_하헌
39480-2A150-3,,,0,10,,라우팅_하헌
39480-2A150-4,,,0,10,,라우팅_하헌
39480-2A150-8,,,0,10,,라우팅_하헌
39471-2A851,,,0,10,,라우팅_하헌
39480-2A150-B1,,,B10,10,,라우팅_하헌
39480-2A160-B3,,,B10,10,,라우팅_하헌
39480-2A170-T1,,,L10,10,,라우팅_하헌
39480-2A170-T1,,,T10,20,,라우팅_하헌
39480-2A170-T1,,,D10,30,,라우팅_하헌
39480-2A170-T1,,,L10,40,,라우팅_하헌
39480-2A170,,,J10,10,,라우팅_하헌
39480-2A180-1,,,0,10,,라우팅_하헌
39480-2A180-2,,,0,10,,라우팅_하헌
39480-2A150-3,,,0,10,,라우팅_하헌
39480-2A150-4,,,0,10,,라우팅_하헌
39480-2A150-8,,,0,10,,라우팅_하헌
39480-2A180-T1,,,T10,10,,라우팅_하헌
39480-2A180,,,D10,10,,라우팅_하헌
28820-4A720-1,,,0,10,,라우팅_하헌
28820-4A720-2,,,0,10,,라우팅_하헌
28820-4A720-3,,,0,10,,라우팅_하헌
28820-4A720-4,,,0,10,,라우팅_하헌
28811-4A001,,,0,10,,라우팅_하헌
28820-4A810-7,,,0,10,,라우팅_하헌
28820-4A810-8,,,0,10,,라우팅_하헌
28820-4A720-P2,,,P10,10,,라우팅_하헌
28820-4A720-T1,,,T10,10,,라우팅_하헌
28820-4A720-T1,,,D10,20,,라우팅_하헌
28820-4A720-T1,,,L10,30,,라우팅_하헌
28820-4A720,,,J10,10,,라우팅_하헌
38322-50X0A-1,,,0,10,,라우팅_하헌
38322-50X0A,,,D10,10,,라우팅_하헌
31381-3MX0A-1,,,0,10,,라우팅_하헌
31381-3MX0A,,,D10,10,,라우팅_하헌
45272-4G100-1,,,0,10,,라우팅_하헌
45272-4G100-2,,,0,10,,라우팅_하헌
45272-4G100-P1,,,P10,10,,라우팅_하헌
45272-4G100-B1,,,B10,10,,라우팅_하헌
45272-4G100-S1,,,S10,10,,라우팅_하헌
45272-4G100,,,R10,10,,라우팅_하헌
45272-4G100-1,,,0,10,,라우팅_하헌
45272-4G100-2,,,0,10,,라우팅_하헌
45272-4G100-P1,,,P10,10,,라우팅_하헌
45272-4G100-B1,,,B10,10,,라우팅_하헌
45272-4G100-S1,,,S10,10,,라우팅_하헌
45272-4G100-R1,,,R10,10,,라우팅_하헌
45272-4G100,,,L10,10,,라우팅_하헌
45264-3D600-1,,,0,10,,라우팅_하헌
45264-3D600-2,,,0,10,,라우팅_하헌
45264-3D600-3,,,0,10,,라우팅_하헌
45264-3D000-6,,,0,10,,라우팅_하헌
45264-3D000-4,,,0,10,,라우팅_하헌
45264-3D000-5,,,0,10,,라우팅_하헌
45264-3D000-9,,,0,10,,라우팅_하헌
45264-3D600-P1,,,P10,10,,라우팅_하헌
45264-3D600-P3,,,P10,10,,라우팅_하헌
45264-3D600-O1,,,O10,10,,라우팅_하헌
45264-3D600-O2,,,O10,10,,라우팅_하헌
45264-3D600-O3,,,O10,10,,라우팅_하헌
45264-3D600-R1,,,R10,10,,라우팅_하헌
45264-3D600-R2,,,R10,10,,라우팅_하헌
45264-3D600-R3,,,R10,10,,라우팅_하헌
45264-3D600-B1,,,B10,10,,라우팅_하헌
45264-3D600-B2,,,B10,10,,라우팅_하헌
45264-3D600-B3,,,B10,10,,라우팅_하헌
45264-3D600-T1,,,T10,10,,라우팅_하헌
45264-3D600-D1,,,D10,20,,라우팅_하헌
45264-3D600-D1,,,L10,30,,라우팅_하헌
45264-3D600,,,J10,10,,라우팅_하헌
45264-3D900-1,,,0,10,,라우팅_하헌
45264-3D900-2,,,0,10,,라우팅_하헌
45264-3D900-3,,,0,10,,라우팅_하헌
45264-3D000-6,,,0,10,,라우팅_하헌
45264-3D900-5,,,0,10,,라우팅_하헌
45264-3D900-P1,,,P10,10,,라우팅_하헌
